0	237	1.0
0	48	1.0
0	1349	1.0
0	0	0.6
0	1729	1.0
0	3656	1.0
0	3498	1.0
0	398	1.0
0	751	0.8
0	2976	1.0
0	3859	1.0
0	2363	1.0
0	1599	1.0
0	905	1.0
1	1	0.4
1	2232	0.8
1	1122	1.0
1	4299	0.2
2	533	1.0
2	1593	1.0
2	433	1.0
2	902	1.0
2	774	1.0
2	1664	1.0
2	2	0.6
2	904	1.0
3	2338	1.0
3	387	1.0
3	698	1.0
3	3993	1.0
3	1904	1.0
3	1305	1.0
3	1680	1.0
3	2767	1.0
3	628	1.0
3	4165	1.0
3	864	1.0
3	1356	0.6
3	2856	0.8
3	3089	0.8
3	4027	0.8
3	4622	1.0
3	3412	0.8
3	2782	1.0
3	1127	0.8
3	2748	0.6
3	2352	1.0
3	3171	1.0
3	4146	0.8
3	2018	0.4
3	2873	0.8
3	857	0.8
3	164	1.0
3	863	1.0
3	3874	1.0
3	829	1.0
3	3818	0.8
3	4049	0.8
3	601	1.0
3	2317	0.8
3	2275	1.0
3	1775	1.0
3	2972	1.0
3	3671	0.8
3	1914	0.8
3	920	1.0
3	3821	1.0
3	1563	0.8
3	2153	0.8
3	1917	1.0
3	1963	0.8
3	2	0.4
3	3200	0.8
3	2572	1.0
3	1588	1.0
3	2184	1.0
3	1922	1.0
3	1626	1.0
3	2457	1.0
3	3040	1.0
4	756	0.8
4	2589	0.8
4	2770	1.0
4	919	1.0
4	1145	1.0
4	29	1.0
4	2	0.2
4	3165	1.0
4	3270	1.0
4	258	0.2
4	2266	1.0
4	4389	1.0
4	505	0.6
4	1524	0.4
5	3	1.0
5	3397	1.0
5	4369	1.0
5	3478	0.8
5	2452	0.8
5	2656	0.8
6	1233	0.6
6	866	0.6
6	4	0.2
6	1394	1.0
6	2818	0.2
6	636	0.6
6	1966	0.8
7	2747	1.0
7	2047	1.0
7	3958	1.0
7	5	1.0
7	4176	1.0
8	572	0.8
8	359	1.0
8	2775	1.0
8	1994	1.0
8	3875	0.8
8	6	0.8
8	964	0.8
8	1760	1.0
8	972	0.8
